Περιφέρεια,Διεύθυνση,Ονομασία,Κατηγορία Μοριοδότησης,Κωδ. ΥΠΠΘ
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,1ο ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΠΡΟΣΟΤΣΑΝΗΣ ΔΡΑΜΑΣ - ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΠΡΟΣΟΤΣΑΝΗΣ,Ε,954010
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΚΑΛΑΜΠΑΚΙΟΥ ΔΡΑΜΑΣ,Δ,956010
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,2ο ΕΠΑΓΓΕΛΜΑΤΙΚΟ ΛΥΚΕΙΟ ΔΡΑΜΑΣ,Β,940040
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΚΑΤΩ ΝΕΥΡΟΚΟΠΙ  ΔΡΑΜΑΣ - ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,Θ,953010
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΔΟΞΑΤΟΥ ΔΡΑΜΑΣ,Δ,951040
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,4ο ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΔΡΑΜΑΣ,Β,951009
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,3ο ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΔΡΑΜΑΣ,Β,951030
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,ΕΣΠΕΡΙΝΟ ΕΠΑΛ ΔΡΑΜΑΣ,Β,940035
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,1ο Ε.Κ ΔΡΑΜΑΣ (1o ΕΡΓΑΣΤΗΡΙΑΚΟ ΚΕΝΤΡΟ ΔΡΑΜΑΣ),Β,SEK001
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,5ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΔΡΑΜΑΣ,Β,901038
