Περιφέρεια,Διεύθυνση,Κατηγορία Μοριοδότησης,Δήμος,Κωδ. ΥΠΠΘ,Ονομασία,dde_dpe_Κωδ. ΥΠΠΘ,pde_Κωδ. ΥΠΠΘ
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΧΑΛΑΝΔΡΙΟΥ,9050069,1ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΧΑΛΑΝΔΡΙΟΥ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΧΑΛΑΝΔΡΙΟΥ,9050070,2ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΧΑΛΑΝΔΡΙΟΥ - ΔΙΕΥΡΥΜΕΝΟΥ ΩΡΑΡΙΟΥ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΧΑΛΑΝΔΡΙΟΥ,9050071,3ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΧΑΛΑΝΔΡΙ - ΔΙΕΥΡΥΜΕΝΟΥ ΩΡΑΡΙΟΥ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΧΑΛΑΝΔΡΙΟΥ,9050072,4ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΧΑΛΑΝΔΡΙΟΥ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΧΑΛΑΝΔΡΙΟΥ,9050073,5ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΧΑΛΑΝΔΡΙΟΥ  ΔΙΕΥΡΥΜΕΝΟΥ ΩΡΑΡΙΟΥ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΧΑΛΑΝΔΡΙΟΥ,9050074,6ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΧΑΛΑΝΔΡΙΟΥ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΧΑΛΑΝΔΡΙΟΥ,9050075,7ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΧΑΛΑΝΔΡΙ - ΔΙΕΥΡΥΜΕΝΟΥ ΩΡΑΡΙΟΥ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΧΑΛΑΝΔΡΙΟΥ,9050077,9ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΧΑΛΑΝΔΡΙ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,9050078,1ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΠΑΠΑΓΟΥ - ΧΟΛΑΡΓΟΥ,9050080,1ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΧΟΛΑΡΓΟΥ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,9050082,2ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΠΑΠΑΓΟΥ - ΧΟΛΑΡΓΟΥ,9050084,1ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΠΑΓΟΥ- ΔΙΕΥΡΥΜΕΝΟΥ ΩΡΑΡΙΟΥ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΠΑΠΑΓΟΥ - ΧΟΛΑΡΓΟΥ,9050085,2ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΧΟΛΑΡΓΟΥ ΕΑΕΠ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,9050086,3ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ ΕΑΕΠ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,9050088,4ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΗΡΑΚΛΕΙΟΥ,9050465,6ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΗΡΑΚΛΕΙΟΥ ΑΤΤΙΚΗΣ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΗΡΑΚΛΕΙΟΥ,9050466,1ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΝΕΟΥ ΗΡΑΚΛΕΙΟΥ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΗΡΑΚΛΕΙΟΥ,9050467,1ο ΟΛΟΗΜΕΡΟ ΝΗΠΙΑΓΩΓΕΙΟ ΝΕΟΥ ΗΡΑΚΛΕΙΟΥ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΗΡΑΚΛΕΙΟΥ,9050468,2ο ΟΛΟΗΜΕΡΟ ΝΗΠΙΑΓΩΓΕΙΟ ΝΕΟΥ ΗΡΑΚΛΕΙΟΥ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΗΡΑΚΛΕΙΟΥ,9050469,2ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΗΡΑΚΛΕΙΟΥ ΑΤΤΙΚΗΣ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΗΡΑΚΛΕΙΟΥ,9050470,3ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΗΡΑΚΛΕΙΟΥ ΑΤΤΙΚΗΣ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΗΡΑΚΛΕΙΟΥ,9050471,3ο ΟΛΟΗΜΕΡΟ ΝΗΠΙΑΓΩΓΕΙΟ ΝΕΟΥ ΗΡΑΚΛΕΙΟΥ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΗΡΑΚΛΕΙΟΥ,9050472,4ο ΟΛΟΗΜΕΡΟ ΝΗΠΙΑΓΩΓΕΙΟ ΝΕΟΥ ΗΡΑΚΛΕΙΟΥ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΗΡΑΚΛΕΙΟΥ,9050473,4ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΝΕΟΥ ΗΡΑΚΛΕΙΟΥ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΗΡΑΚΛΕΙΟΥ,9050474,5ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΗΡΑΚΛΕΙΟ ΑΤΤΙΚΗΣ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΛΥΚΟΒΡΥΣΗΣ - ΠΕΥΚΗΣ,9050475,1ο ΟΛΟΗΜΕΡΟ ΝΗΠΙΑΓΩΓΕΙΟ ΛΥΚΟΒΡΥΣΗΣ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΜΕΤΑΜΟΡΦΩΣΕΩΣ,9050477,1ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΕΤΑΜΟΡΦΩΣΗΣ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΜΕΤΑΜΟΡΦΩΣΕΩΣ,9050478,1ο ΟΛΟΗΜΕΡΟ ΝΗΠΙΑΓΩΓΕΙΟ ΜΕΤΑΜΟΡΦΩΣΗ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΜΕΤΑΜΟΡΦΩΣΕΩΣ,9050480,2ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΕΤΑΜΟΡΦΩΣΗΣ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΜΕΤΑΜΟΡΦΩΣΕΩΣ,9050481,3ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΕΤΑΜΟΡΦΩΣΗΣ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΜΕΤΑΜΟΡΦΩΣΕΩΣ,9050484,6ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΕΤΑΜΟΡΦΩΣΗΣ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΝΕΑΣ ΙΩΝΙΑΣ,9050485,1ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΝΕΑΣ ΙΩΝΙΑΣ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΝΕΑΣ ΙΩΝΙΑΣ,9050486,1ο ΝΗΠΙΑΓΩΓΕΙΟ ΝΕΑΣ ΙΩΝΙΑΣ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΝΕΑΣ ΙΩΝΙΑΣ,9050487,10ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΝΕΑΣ ΙΩΝΙΑΣ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΝΕΑΣ ΙΩΝΙΑΣ,9050488,11ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΝΕΑΣ ΙΩΝΙΑΣ ΑΤΤΙΚΗΣ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΝΕΑΣ ΙΩΝΙΑΣ,9050491,14ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΝΕΑΣ ΙΩΝΙΑΣ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΝΕΑΣ ΙΩΝΙΑΣ,9050492,15ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΝΕΑΣ ΙΩΝΙΑΣ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΝΕΑΣ ΙΩΝΙΑΣ,9050493,16ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ Ν. ΙΩΝΙΑΣ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΝΕΑΣ ΙΩΝΙΑΣ,9050494,2ο ΟΛΟΗΜΕΡΟ ΝΗΠΙΑΓΩΓΕΙΟ ΝΕΑ ΙΩΝΙΑΣ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΝΕΑΣ ΙΩΝΙΑΣ,9050495,2ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΝΕΑ ΙΩΝΙΑ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΝΕΑΣ ΙΩΝΙΑΣ,9050496,3ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΝΕΑΣ ΙΩΝΙΑΣ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΝΕΑΣ ΙΩΝΙΑΣ,9050497,3ο  ΟΛΟΗΜΕΡΟ ΝΗΠΙΑΓΩΓΕΙΟ ΝΕΑΣ ΙΩΝΙΑΣ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΝΕΑΣ ΙΩΝΙΑΣ,9050498,4ο ΟΛΟΗΜΕΡΟ ΝΗΠΙΑΓΩΓΕΙΟ ΝΕΑ   ΙΩΝΙΑ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΝΕΑΣ ΙΩΝΙΑΣ,9050499,4ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΝΕΑΣ ΙΩΝΙΑΣ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΝΕΑΣ ΙΩΝΙΑΣ,9050501,5ο ΝΗΠΙΑΓΩΓΕΙΟ ΝΕΑ ΙΩΝΙΑ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΝΕΑΣ ΙΩΝΙΑΣ,9050502,6ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΝΕΑΣ ΙΩΝΙΑΣ ΑΤΤΙΚΗΣ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΝΕΑΣ ΙΩΝΙΑΣ,9050503,6ο ΟΛΟΗΜΕΡΟ ΝΗΠΙΑΓΩΓΕΙΟ ΝΕΑ ΙΩΝΙΑ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΝΕΑΣ ΙΩΝΙΑΣ,9050504,7ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΝΕΑΣ ΙΩΝΙΑΣ,9905501,9999901
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Β΄ ΑΘΗΝΑΣ,Α,ΝΕΑΣ ΙΩΝΙΑΣ,9050505,7ο ΟΛΟΗΜΕΡΟ ΝΗΠΙΑΓΩΓΕΙΟ ΝΕΑ ΙΩΝΙΑ,9905501,9999901
